Sun,1.99e+30,0,0,40,234,144,133
Earth,5.97e+27,-1,29.783,5,233,226,208
Venus,4.87e+24,0.723,35.02,5,212,93,121
Mercury,3.29e+23,0.4,-48,5,212,93,121
Mars,6.39e+23,1.524,-24,5,195,93,121
Jupiter,1.90e+27,5.2,-13.1,15,195,93,121
Saturn,5.68e+26,9.6,-9.68,15,195,93,121
